timeseries,T,P,E,Q_obs,Q_sim,U_soil,S_snow,Q_snow,Q_inter,E_eal,Q_of,Q_g,Q_bf,L_soil
2019-07-27,25.745833333333326,0,1.7,0.1,0.7202805752151067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.527756992290352,0.766750033846
2019-07-28,25.054166666666664,5,0.9,0.1,0.7212000833211031,0.97,0.0,0.0,0.034640982989018444,0.0,0.0,2.2040103923785246,2.5209038997367355,0.766750033846
2019-07-29,25.85,0,1.4,0.1,0.7047146174497908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46754121500623,0.7679853415468599
2019-07-30,26.9375,7,1.7,0.1,0.7105979267441589,0.97,0.0,0.0,0.03470614061497408,0.0,0.0,3.0649591214330667,2.48018740250919,0.7679853415468599
2019-07-31,26.120833333333334,0,1.9,0.1,0.6939042182800995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.427686607676634,0.7696904454023284
2019-08-01,26.591666666666665,5,2.3,0.1,0.6886312933588762,0.97,0.0,0.0,0.0347960781415942,0.0,0.0,1.2132018722344113,2.401978302788779,0.7696904454023284
2019-08-02,25.58333333333333,5,1.7,0.1,0.6900894358879546,0.97,0.0,0.0,0.034831312513860395,0.0,0.0,2.339466942356001,2.4006550575753467,0.7703584453602309
2019-08-03,26.149999999999995,0,1.5,0.1,0.6730134804299291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3498378094456323,0.7716413625745029
2019-08-04,26.691666666666663,10,2.0,0.1,0.6905486957596546,0.97,0.0,0.0,0.034898981354523656,0.0,0.0,5.023012454112652,2.4064237728406845,0.7716413625745029
2019-08-05,25.975000000000005,0,1.8,0.1,0.6738271857996535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.355484412109202,0.7743744527742545
2019-08-06,24.950000000000003,12,0.8,0.1,0.7057337536632107,0.97,0.0,0.0,0.03504314112039776,0.0,0.0,7.355151031438147,2.461317733876345,0.7743744527742545
2019-08-07,24.775,35,0.4,0.1,0.8401090563940065,0.97,0.0,0.0,0.034519730593054784,0.0,0.0,24.51380613012064,2.92812647892006,0.7644512389423368
2019-08-08,25.629166666666663,28,0.9,0.1,0.9333044269673891,0.97,0.0,0.0,0.033061507043981,0.0,0.0,18.27202572887434,3.252927300679849,0.7368051307036405
2019-08-09,25.35416666666667,7,0.6,1.2574074074074084,0.9391934636435426,0.97,0.0,0.0,0.032242414645404276,0.0,0.0,4.176589839619422,3.2724794592797695,0.7212761556552477
2019-08-10,25.15833333333333,5,0.6,0.4472222222222251,0.9369818183709432,0.97,0.0,0.0,0.03240258910962307,0.0,0.0,2.8810660299652286,3.264193990154993,0.7243128646548251
2019-08-11,26.137500000000006,8,0.8,0.1,0.9459727171516158,0.97,0.0,0.0,0.03251125462277129,0.0,0.0,4.746231655179269,3.2955658757257535,0.7263730278857764
2019-08-12,26.500000000000004,5,1.1,0.6787037037037017,0.9417024851876011,0.97,0.0,0.0,0.03268824862878168,0.0,0.0,2.576912115402428,3.2803533584828193,0.729728614517793
